"Country","Virus Name","Submitted"
"Guinea-Bissau","hCoV-19/Guinea-Bissau/82J1827DE/2022","2022-02-04"
"Timor-Leste","hCoV-19/East Timor/898261/2022","2022-02-04"
"Sao Tome and Principe","hCoV-19/Sao Tome and Principe/1457/2021","2022-02-04"
"Macao","hCoV-19/Macau/NMA9990/2021","2022-02-04"
"Saudi Arabia","hCoV-19/Saudi Arabia/KFSHRC_0106I/2021","2022-02-03"
"Mali","hCoV-19/Rwanda/NRL-EK0284615/2021","2022-02-01"
"Saint Kitts and Nevis","hCoV-19/Saint Kitts and Nevis/115423/2022","2022-01-18"
"Azerbaijan","hCoV-19/Azerbaijan/MHTM-A/2022","2022-01-10"
"Gibraltar","hCoV-19/Gibraltar/EXP_20122021-1610914-89/2021","2021-12-22"
"Sierra Leone","hCoV-19/Sierra Leone/CPHRL_SEQ_21_297/2021","2021-12-14"
